"date","ws","wd","rh","pres","solar","temp_mean","temp_max","temp_min","precip_sum","no","no2","nox","so2",".before","poblacio_total","incidencia_1000"
2012-03-20,2.6,119.2,93.5,993.1,11.9,10.4,11.7,7,49.5,1,9,NA,1,21,11051,1.90028051760022
2012-03-21,1.5,233.3,88.5,992.7,106.3,9.9,14.1,7.1,18.9,1,19,NA,3,14,9431,1.48446612236242
2012-03-22,1.5,222,75.9,993.2,249.6,10.9,17.2,5.3,0,8,34,NA,1,19,10799,1.75942216871933
2012-03-23,1.5,210.7,67.8,993.1,255.5,12.7,19.2,6.5,0,5,46,NA,1,9,5655,1.59151193633952
2012-03-24,1.7,240.4,52.9,993.8,260.4,15.4,23.1,9.5,0,1,21,NA,1,5,2776,1.80115273775216
2012-03-25,1.9,211.7,57.5,995.3,244,13.8,18.6,9.7,0,1,29,NA,2,17,10798,1.57436562326357
2012-03-26,1.7,212,53,996,246.8,14.4,21.1,8.7,0,1,27,NA,2,25,13920,1.79597701149425
2012-03-27,1.5,205.6,42,994.3,265.8,16,23.1,11.3,0,1,31,NA,2,17,8656,1.96395563770795
2012-03-28,1.5,225.1,41.1,989.6,265.6,16,23.5,8.9,0,NA,NA,NA,NA,9,3904,2.30532786885246
2012-03-29,1.5,243.2,39.9,983.4,270.6,18.8,26.8,13.5,0,1,16,NA,1,18,7619,2.36251476571729
2012-03-30,1.8,223.2,46.9,980,264.9,17.1,22.8,10.6,0,1,27,NA,1,5,2878,1.73731758165393
2012-03-31,1.9,215.8,49,978.2,269.7,16.7,23.1,10.7,0,1,13,NA,1,0,0,NA
2012-04-01,1.7,199.3,67.5,978.3,240.9,13.7,20.2,9.6,0,1,23,NA,1,14,6236,2.24502886465683
2012-04-02,0.6,131,94.1,976.7,45.7,12.3,13.8,11.1,7.7,1,26,NA,1,8,5302,1.508864579404
2012-04-03,1.3,158.1,95.7,976.6,45.8,11,12.2,9.3,34.4,8,32,NA,1,15,7427,2.01965800457789
2012-04-04,0.8,149.5,91.1,978.2,76.2,11.4,13.3,10.3,4,1,21,NA,1,21,9667,2.17233888486604
2012-04-05,2.1,253.4,77.6,978.2,158,11.5,16.7,8.6,0,1,20,NA,1,2,1272,1.57232704402516
2012-04-06,3,299.8,55.4,978.6,258.1,11.4,15.7,7.1,0,1,4,NA,1,0,0,NA
2012-04-07,1.9,296.5,59.9,981.8,297.9,13.5,20.8,8.8,0,1,5,NA,1,4,3498,1.14351057747284
2012-04-08,1.8,227.1,74.1,982.2,160,12,16,8.4,0,1,10,NA,1,0,0,NA
2012-04-09,2,219.3,76,973.9,158.9,12.7,19.6,8.3,0.3,1,4,NA,1,10,7772,1.28667009778693
2012-04-10,3.3,300.9,51.4,976.7,281.2,13,18,8.5,0,1,5,NA,1,15,6128,2.44778067885118
2012-04-11,1.2,192.8,70.3,974.1,85.8,12.5,14.6,9.6,1.1,1,9,NA,1,13,6680,1.94610778443114
2012-04-12,1.8,277.4,73.7,972.6,153.5,11.3,16.6,8.2,1,1,37,NA,2,10,5382,1.85804533630621
2012-04-13,2.4,266,65.3,971.1,180.4,10.2,15.4,7,0.6,1,26,NA,1,11,6183,1.77907164806728
2012-04-14,2.2,260.3,68,973.7,198.5,9.9,16.5,7.6,2.4,1,7,NA,1,5,3109,1.60823415889353
2012-04-15,3.4,283.8,46.6,980.5,225.4,11.2,16.8,7.4,0,1,25,NA,3,14,9188,1.52372659991293
2012-04-16,3,300.8,45.3,982.1,322.1,11,18,5.5,0,1,9,NA,1,17,7296,2.33004385964912
2012-04-17,2.3,220.4,65,973.6,136.2,12.1,17.1,8.2,0.1,1,8,NA,2,19,9356,2.03078238563489
2012-04-18,3.4,297.2,51.8,968.9,235,13.3,19,8.1,0.7,1,14,NA,2,13,10048,1.2937898089172
2012-04-19,3.1,297,50.8,975.5,276.7,13.9,19.6,8.1,0,1,15,NA,4,17,9271,1.83367490022651
2012-04-20,1.8,244.3,66.7,981.1,283.8,14.7,21.4,9.1,1.7,1,12,NA,1,0,0,NA
2012-04-21,2.7,167.6,81,984.9,150.2,12.1,15,10.6,0.1,1,10,NA,1,2,1272,1.57232704402516
2012-04-22,2.2,238.4,77.7,980.6,219.2,13.4,17.2,9.9,0.2,1,7,NA,1,19,10954,1.73452620047471
2012-04-23,3.5,278.8,45.4,979.6,323.1,13.6,18.4,9.6,0,1,8,NA,2,12,5308,2.26073850791258
2012-04-24,3,205.5,73,979.1,264.5,14.5,19.1,10.9,0,1,21,NA,1,8,3280,2.4390243902439
2012-04-25,1.6,141.2,73.2,980,300.6,17.1,24.5,13,0,1,19,NA,4,15,7497,2.00080032012805
2012-04-26,1.8,202.9,72.9,981.3,95.7,16.2,19.9,12.9,0,1,40,NA,7,13,7546,1.72276702888948
2012-04-27,3.2,167.5,83.6,976.1,96.9,15.3,17.6,11.6,9.9,1,19,NA,2,0,0,NA
2012-04-28,2.7,243.5,62.7,981.7,333,13.9,19.2,9.7,0,1,9,NA,2,9,7336,1.226826608506
2012-04-29,2.8,229.7,75.2,981.7,239,12.6,16.9,9.6,19.5,1,12,NA,1,8,4315,1.8539976825029
2012-04-30,2.1,219.6,70.1,985.8,327.6,13.1,19.6,7.1,0,1,6,NA,1,11,8964,1.22713074520303
2012-05-01,1.9,243.1,62,986.6,347.6,14.3,22.2,8.3,0,1,19,NA,2,9,4876,1.84577522559475
2012-05-02,1.8,264.6,71,983.1,342.9,15.5,22.1,10.3,0,1,8,NA,1,18,14719,1.2229091650248
2012-05-03,1.8,232.4,75.3,978.6,205.6,15.6,22.4,11.6,0,1,9,NA,4,13,6811,1.90867713992072
2012-05-04,2.3,262,59.8,978.4,310.3,16.6,22.5,11.7,0,1,38,NA,5,2,590,3.38983050847458
2012-05-05,2.2,189.2,70.6,983,267.2,14.6,18.7,10.6,0,1,6,NA,3,1,770,1.2987012987013
2012-05-06,2.1,203.5,64.5,988.1,279.5,16.6,22.3,9.9,0,1,7,NA,3,28,15871,1.76422405645517
2012-05-07,2,258.3,57,986.5,254.2,19.5,26.5,13.1,0,1,9,NA,2,23,9040,2.54424778761062
2012-05-08,1.5,208,70.1,989.2,336.9,18.6,25.1,13.4,0,1,32,NA,5,12,7676,1.56331422615946
2012-05-09,1.6,242.7,37.3,993.1,345.6,21,29.1,13.3,0,1,17,NA,1,20,9197,2.1746221593998
2012-05-10,2.7,278.9,38,994.5,351.5,22.6,27.6,17.7,0,1,19,NA,1,12,4690,2.55863539445629
2012-05-11,2.1,205.4,46.8,993.1,316.3,24.4,33.8,19.7,0,1,7,NA,1,11,9515,1.15606936416185
2012-05-12,2.5,180.7,76.4,989.2,280.8,18.7,22,16.3,0.5,1,37,NA,1,3,2373,1.26422250316056
2012-05-13,1.9,255.3,61.9,986.3,350.5,18.4,23.4,15.1,0,1,18,NA,2,21,11385,1.84453227931489
2012-05-14,2.3,205.6,63.2,986.6,344.1,18.3,24.6,14.4,0,NA,NA,NA,NA,22,10802,2.03665987780041
2012-05-15,1.8,215.9,66.5,990.9,176.2,15.1,19.5,12.5,0,1,14,NA,1,16,9299,1.72061511990537
2012-05-16,1.3,207.2,83,986.6,115.1,14.6,19.3,11,0.6,1,10,NA,1,8,4168,1.91938579654511
2012-05-17,2.4,133.3,78.9,981.3,205.6,16,20.2,13.4,0,1,9,NA,1,18,8228,2.18765192027224
2012-05-18,1.2,147,76.8,977.8,134.5,16.1,20.3,12.5,0,1,13,NA,1,3,1814,1.65380374862183
2012-05-19,1.5,234.1,83.3,974.8,156.3,14.2,19.1,10,13.5,1,14,NA,2,5,4660,1.07296137339056
2012-05-20,4.3,314,61.1,977.1,167.4,13.6,17.9,9.9,0,1,8,NA,2,14,7680,1.82291666666667
2012-05-21,3.3,318.9,51.4,983.7,243.6,17.8,23.1,12.6,0.2,1,4,NA,NA,15,7920,1.89393939393939
2012-05-22,2.2,241.3,49.7,988.6,344.9,20.4,29.1,14.8,0,1,32,NA,NA,15,7267,2.06412549883033
2012-05-23,1.4,242.7,43.2,989,352.5,21.4,28.8,13.9,0,1,21,NA,NA,10,6701,1.49231457991345
2012-05-24,2.1,274.9,43.1,985.1,353.7,22.7,28.4,17.9,0,1,25,NA,1,12,8673,1.3836042891733
2012-05-25,1.6,265.5,61.9,985.4,272.3,20.5,26.4,15.6,0,1,6,NA,1,10,7104,1.40765765765766
2012-05-26,1.9,198.9,65.7,986.8,349.7,20.2,26.6,14.4,0,1,16,NA,1,0,0,NA
2012-05-27,2,198.5,59,985.8,300.2,21.1,28,15.7,0,1,17,NA,1,21,12051,1.74259397560368
2012-05-28,1.8,216.2,53.9,985.4,335.2,22.4,29.7,16.5,0,1,10,NA,1,32,17326,1.84693524183308
2012-05-29,1.9,225.8,47.8,988.8,346.9,23.5,31.3,16.7,0,1,9,NA,1,21,12664,1.65824384080859
2012-05-30,2,202.5,44.6,989.6,345,23.9,31.8,18.1,0,1,22,NA,2,17,10212,1.66470818644732
2012-05-31,1.7,241.6,43,986.6,353.6,24,31.8,17.2,0,1,24,NA,3,17,8844,1.92220714608774
2012-06-01,1.7,252.3,37.5,984,352.5,25,31.9,20.2,0,1,10,NA,1,2,1388,1.44092219020173
2012-06-02,2.5,217.1,68.4,984.5,179.3,21.4,26.9,16.1,25.2,1,8,NA,1,10,6726,1.48676776687481
2012-06-03,2.7,197.4,80.4,986.5,313.8,19.6,24.2,16,0.1,1,14,NA,3,18,9722,1.85147089076322
2012-06-04,1.7,237.7,75.2,986.3,334.3,21.1,26.8,15.6,0,1,12,NA,1,8,4221,1.89528547737503
2012-06-05,1.8,181.3,78,981.7,286.8,22.5,28.9,19.1,0,1,5,NA,1,10,5638,1.77367860943597
2012-06-06,1.1,179.4,71.2,977.8,323.3,23.3,31,16.9,0,1,13,NA,1,10,6483,1.54249575813666
2012-06-07,2,235.5,70.5,981.8,300,21.9,27.3,17.9,0.2,1,17,NA,1,17,8128,2.09153543307087
2012-06-08,2.7,257.3,67.2,986.7,284.4,20.6,25.5,15.8,0,1,9,NA,1,4,2698,1.48257968865827
2012-06-09,2.3,213.5,68.1,982.4,296.9,22.9,28.6,18.7,0,1,7,NA,1,0,0,NA
2012-06-10,2.9,162.2,75,979.3,210.2,19.6,23.5,16.3,0,1,11,NA,1,19,9941,1.91127653153606
2012-06-11,2.3,259.2,57,981.9,351.9,18.9,26.7,13.1,0,1,10,NA,1,8,4664,1.71526586620926
2012-06-12,2.6,168.5,72.1,987.9,265,18.5,22.5,13.5,0,1,16,NA,1,22,8141,2.70237071612824
2012-06-13,1.8,200.9,63,987.6,321.1,20.6,27.2,15.6,0,1,19,NA,1,20,9621,2.07878598898243
2012-06-14,1.8,225.2,51.1,989.2,370.4,22.3,31.2,15.1,0,1,9,NA,1,7,4166,1.68026884301488
2012-06-15,1.4,246.9,44.8,989.4,368,23.7,31.2,16.1,0,1,8,NA,1,3,2414,1.24275062137531
2012-06-16,1.9,196.9,56.2,988.9,357.8,22.6,28.1,16.7,0,1,10,NA,1,3,2505,1.19760479041916
2012-06-17,2.2,195.3,57,987,320.7,22.5,28.5,17.3,0,1,15,NA,1,29,14620,1.98358413132695
2012-06-18,1.4,186.3,58.1,984.9,185.9,23.2,29.7,18.1,0,1,24,NA,1,7,2673,2.61878039655817
2012-06-19,1.9,214.1,51.7,982.7,343.4,25.8,32.8,20.1,0,1,17,NA,1,12,6398,1.87558612066271
2012-06-20,2,230,47.1,982.5,356.4,28,35.3,21,0,1,18,NA,2,10,8296,1.20540019286403
2012-06-21,2.3,215,57.8,990,356.8,23.8,30.4,18.7,0,1,17,NA,1,14,7373,1.8988200189882
2012-06-22,1.5,237.8,48.4,992.2,351.4,23.7,29.9,17.5,0,1,16,NA,1,2,1272,1.57232704402516
2012-06-23,2,210.5,48.2,990.9,350.2,24.7,30.6,18,0,1,11,NA,1,6,3138,1.91204588910134
2012-06-24,2.1,222,46.8,989.8,357.1,26.3,33.2,19.7,0,1,11,NA,1,19,12510,1.51878497202238
2012-06-25,1.9,222,43.6,990.5,352.1,27,34.1,21.3,0,1,13,NA,1,1,1229,0.81366965012205
2012-06-26,1.8,219.1,39,987.7,339.8,28,34.3,23.2,0,1,10,NA,1,19,9467,2.00697158550755
2012-06-27,1.9,196.2,58.8,982.1,332,27.6,35.3,22,0.4,1,3,NA,1,15,9366,1.60153747597694
2012-06-28,1.5,163.1,70.9,981.1,330.9,26.5,34,20.7,0,1,11,NA,1,5,2244,2.22816399286988
2012-06-29,1.8,157.3,73.9,981.6,320.1,25.7,32.2,20.7,0,1,14,NA,5,8,4949,1.61648817943019
2012-06-30,1.7,285,81.1,984.3,72.1,18.6,22.7,14.6,34,1,12,NA,1,6,4477,1.34018315836498
2012-07-01,1.7,262.3,67.4,988.1,356,20,26.8,14.1,0.1,1,7,NA,1,11,7903,1.39187650259395
2012-07-02,1.5,266.2,68.8,987.3,347.3,22.4,28.9,17.2,0,1,3,NA,1,12,7911,1.51687523701176
2012-07-03,1.6,204.7,70.3,982.5,349.3,23.2,29.2,19,0,1,3,NA,1,16,10484,1.52613506295307
2012-07-04,2.1,177.8,79.4,980.8,227.8,21.9,26.2,18.5,0.1,1,4,NA,1,6,2121,2.82885431400283
2012-07-05,1.7,196.4,72,984,259.3,21.5,28,17.3,0,1,11,NA,1,1,1034,0.967117988394584
2012-07-06,1.6,187.7,75.4,983.9,180.1,21.5,25.7,15.9,0,1,11,NA,1,6,4376,1.37111517367459
2012-07-07,2.3,185.1,75.8,984.5,292.7,22.1,26.8,18.3,0,1,3,NA,1,2,1966,1.01729399796541
2012-07-08,1.7,239.6,66.6,984.9,332.5,23.2,30,17.8,0,1,17,NA,1,10,5722,1.74764068507515
2012-07-09,1.3,200.9,74.4,984.4,256,24.3,31.3,18.7,0,1,15,NA,1,8,4969,1.60998188770376
2012-07-10,2.8,159.6,70.1,987.5,302.9,23.4,27.8,19.5,0,1,12,NA,1,4,3273,1.22212037885732
2012-07-11,2.2,216,65.9,989.2,352.5,23.2,28.7,18.9,0,1,15,NA,1,11,4516,2.43578387953942
2012-07-12,1.8,171.9,75,983.9,307.6,24.9,30.3,21.7,0,1,7,NA,1,6,3988,1.50451354062187
2012-07-13,2.7,173.9,73.7,983.9,245.9,22.6,27.1,19,0,1,4,NA,1,4,2856,1.40056022408964
2012-07-14,2.9,200.6,63.4,990.4,326.3,22.5,28,18.5,0,1,10,NA,1,8,4835,1.65460186142709
2012-07-15,2.3,210.5,68.9,995.7,327.9,22.4,27,19.4,0,1,11,NA,1,14,8821,1.58712164153724
2012-07-16,1.5,233.1,58.8,995.3,351.7,25.9,33.1,18.7,0,1,6,NA,1,5,4963,1.00745516824501
2012-07-17,2.2,252.1,33,989.9,349.7,28.2,35,21.4,0,1,9,NA,1,4,3418,1.17027501462844
2012-07-18,1.7,218.5,40.8,985.1,341.5,27.7,34.5,21.1,0,1,5,NA,1,10,6351,1.57455518815934
2012-07-19,2.1,192.5,64.5,984.5,329.8,25,32.4,18.7,0,1,16,NA,1,6,3153,1.90294957183635
2012-07-20,2.6,222,72.1,987.8,227.2,22.8,27.5,19.1,0,1,13,NA,1,3,905,3.31491712707182
2012-07-21,2.4,179.2,70,988.6,260.8,22.5,27.3,19.4,0,1,6,NA,1,4,4730,0.845665961945032
2012-07-22,2.4,206.8,63,987.4,293.4,22,27.5,17.3,0,1,6,NA,1,10,7108,1.40686550365785
2012-07-23,1.8,243.3,53.1,986,321.6,23,30.2,15.9,0,1,13,NA,1,6,3080,1.94805194805195
2012-07-24,2,225.4,61.7,985.8,328.8,24.2,30.3,18.8,0,1,12,NA,1,1,848,1.17924528301887
2012-07-25,2.1,181.8,54.8,986,284.2,25.8,32.4,20.5,0,1,6,NA,1,11,8476,1.2977819726286
2012-07-26,1.8,180.2,59.8,983.3,264.3,25.5,33.6,21.1,0.4,1,17,NA,1,12,7524,1.59489633173844
2012-07-27,2.4,208.6,57.3,982.8,297.6,25.7,33.7,20.4,0.1,1,16,NA,1,0,0,NA
2012-07-28,2.2,205.8,69.9,986.5,310.6,24.5,30.2,20,0,1,8,NA,1,8,5158,1.55098875533152
2012-07-29,1.4,202.3,73.3,988.9,246.9,25,30.8,21.3,0,1,7,NA,1,10,4491,2.22667557336896
2012-07-30,1.8,214.4,72.6,987.6,273.6,25.1,31.3,20.5,0,1,5,NA,1,9,5106,1.76263219741481
2012-07-31,1.7,221.2,72,983.5,313.7,26.9,35,21.1,0,1,5,NA,1,3,2478,1.21065375302663
2012-08-01,2.1,179.8,62.3,985.1,314.2,25.6,32.1,20.6,0,1,9,NA,1,4,2384,1.67785234899329
2012-08-02,2.5,206.4,51.7,986,322,25.5,32.9,20.3,0,1,19,NA,1,4,2361,1.69419737399407
2012-08-03,2.4,198.3,57.5,983,313.5,25,30.5,19.8,0,1,20,NA,8,2,1280,1.5625
2012-08-04,2.4,194.3,70.1,980.3,312.9,24.5,30.3,19.5,0,1,9,NA,7,0,0,NA
2012-08-05,2.2,211.9,76.5,987.1,272.5,22,28,18.3,14.4,1,6,NA,2,17,9974,1.70443152195709
2012-08-06,2.3,198.3,65.9,992,310.2,22.9,28.9,18.3,0,1,16,NA,2,5,3502,1.42775556824672
2012-08-07,2,230.2,51.9,990.5,314.2,25.6,32.1,19.1,0,1,16,NA,2,1,1229,0.81366965012205
2012-08-08,2,223.2,35.8,989.9,308.3,27.2,34.5,21.3,0,1,17,NA,NA,4,2333,1.71453064723532
2012-08-09,2.2,209.4,46.1,988.8,316.8,26.6,32.7,22.3,0,1,16,NA,3,7,4612,1.51777970511709
2012-08-10,1.8,193.8,53.6,985.6,282.2,26.7,33.4,22.1,0,1,17,NA,10,8,6521,1.22680570464653
2012-08-11,2.6,208.4,68.1,983.5,265.1,24.4,30.4,20.3,0,1,17,NA,11,6,4402,1.36301681054066
2012-08-12,1.8,249.4,66.7,983.3,309.5,24.9,31.3,20.3,0,1,6,NA,8,7,4814,1.45409223099294
2012-08-13,1.6,242.5,73.1,982.7,289.6,25,32,20.2,0,1,4,NA,9,3,2818,1.06458481192335
2012-08-14,1.7,239.5,68,982.6,275.2,26.6,32.1,21,0,1,5,NA,5,0,0,NA
2012-08-15,1.8,196.4,66.7,986.9,283.5,26.1,31.7,22,0,1,8,NA,5,5,2811,1.77872643187478
2012-08-16,1.9,207,61.2,987.5,295.7,26,33.6,19.7,0,1,13,NA,6,4,2960,1.35135135135135
2012-08-17,1.8,207.7,56.5,988.2,288.5,26.8,34.5,20.8,0,1,14,NA,NA,0,0,NA
2012-08-18,1.7,230.4,49.2,989.8,238.8,28.5,35.9,21.8,0,1,13,NA,NA,0,0,NA
2012-08-19,1.7,260.8,40,989.9,278.8,30,37.4,24,0,1,11,NA,NA,10,7133,1.40193466984439
2012-08-20,2.1,272,40.1,987.6,286.4,29.5,35.6,23.5,0,1,6,NA,1,13,5082,2.55804801259347
2012-08-21,1.8,219.1,38.5,986.6,275.8,29.2,37.1,23,0,1,10,NA,1,11,6178,1.78051149239236
2012-08-22,2,230.2,39.9,983.5,276.9,28.9,36.8,22.7,0,1,20,NA,1,3,1401,2.14132762312634
2012-08-23,1.9,213.5,66.9,980.5,269.3,26.7,33.8,21.1,0,1,12,NA,1,12,8610,1.39372822299652
2012-08-24,2.3,183.4,76.2,983,206.9,26.1,32.5,22.3,0,1,4,NA,1,0,0,NA
2012-08-25,2.5,220.6,61.6,989.2,284.1,24.1,30,20.3,0,1,6,NA,1,6,4434,1.3531799729364
2012-08-26,1.7,186.6,75.7,988.6,187.9,25.1,29.8,21.2,0,1,3,NA,1,12,6361,1.88649583398837
2012-08-27,2.4,182.2,76.2,988.6,220.1,25.8,31.8,21.9,0,1,3,NA,1,7,4234,1.65328294756731
2012-08-28,1.9,202,75.1,988.1,241.6,25.3,31.3,20.6,0,1,16,NA,1,8,7052,1.13442994895065
2012-08-29,1.1,173.2,89.6,989.2,76.6,21.1,29.1,16.1,34.9,1,6,NA,1,5,3195,1.56494522691706
2012-08-30,1.9,226.5,57.7,991,279.7,20.5,27.1,16,0,1,8,NA,1,6,4164,1.44092219020173
2012-08-31,2.1,276.5,40.5,989.4,202.7,19,25.3,16,0,1,15,NA,1,1,643,1.5552099533437
2012-09-01,2,217,46.1,990.2,239.7,19.4,26.3,13.9,0,1,14,NA,1,0,0,NA
2012-09-02,2.3,273.3,44.6,987.4,253.5,21.7,28.5,16.8,0,1,16,NA,1,8,5774,1.38552130239002
2012-09-03,2.1,236.1,57.4,986.7,262.9,22.1,29.5,17.7,0,1,17,NA,1,6,4690,1.27931769722815
2012-09-04,1.7,260.1,62.7,987.5,230.2,23.2,30.1,18.1,0,1,20,NA,1,5,3963,1.26167045167802
2012-09-05,1.8,253.7,61.1,989.9,223,24.2,30.8,19.8,0,1,5,NA,1,3,3430,0.87463556851312
2012-09-06,2,196.5,68,991.6,254.6,23.6,29.9,19.4,0,1,12,NA,1,7,4906,1.42682429677945
2012-09-07,1.4,232.2,71.3,989.3,194.3,23.5,29.6,18.8,0,1,16,NA,2,1,1229,0.81366965012205
2012-09-08,1.5,194.2,72.4,987.6,231.5,23.8,30.6,19.3,0,1,6,NA,5,5,3762,1.3290802764487
2012-09-09,1.5,228.8,78.4,987.6,205.3,22.9,29.7,19.3,0,1,4,NA,6,4,2549,1.56924284032954
2012-09-10,1.7,225.1,77.9,987.7,193.2,22.6,28.6,18,0,1,7,NA,6,7,6021,1.16259757515363
2012-09-11,2,197.1,72.2,984.9,210.9,23.4,30.7,18.2,0,1,8,NA,6,10,6288,1.59033078880407
2012-09-12,2.3,269.6,50.7,983.6,239.3,20.5,27.8,15.8,0,1,18,NA,1,5,3975,1.25786163522013
2012-09-13,1.8,282.1,45.4,984,265.4,21.5,28.9,16.2,0,1,24,NA,1,17,11622,1.46274307348133
2012-09-14,2,213.9,53.5,984.8,252,22.1,28.9,17.6,0,1,52,NA,1,7,6160,1.13636363636364
2012-09-15,1.7,167.6,77.8,985.2,175.5,22,27.3,19,0,1,21,NA,1,2,1584,1.26262626262626
2012-09-16,1.4,225.3,83.1,985.3,106.1,21.7,26.7,18.6,0,1,5,NA,1,11,4157,2.64613904257878
2012-09-17,1.5,178.5,86.4,984.4,80.9,21.7,25,18.9,0,1,6,NA,1,10,4499,2.22271615914648
2012-09-18,1.2,227.1,89.3,987,74,19.4,21.7,17.4,16,1,21,NA,1,14,6032,2.3209549071618
2012-09-19,1.5,238.1,86.9,989.3,49,19,21.1,17.1,0,1,11,NA,3,3,1382,2.17076700434153
2012-09-20,1.5,222.2,85.6,987.9,147.2,20.3,26.5,16.7,0.1,1,11,NA,1,9,5249,1.71461230710612
2012-09-21,1.5,212.7,83,985.3,160.5,20.5,25,17,0,1,15,NA,1,10,4545,2.2002200220022
2012-09-22,1.7,200.3,83.3,982.5,69.9,21.9,25.1,19.3,0,1,14,NA,2,2,1735,1.15273775216138
2012-09-23,3.9,287.4,53.6,979.9,245.4,23,28.1,19.4,0,1,8,NA,2,14,3477,4.02645959160195
2012-09-24,2.6,273.1,53.4,975.8,211.8,21.3,25.9,18.1,0,1,8,NA,1,10,4965,2.01409869083585
2012-09-25,2.7,275.8,60.8,976,158.5,18,24.7,11.8,1.1,1,6,NA,1,19,8039,2.3634780445329
2012-09-26,1.2,165.8,71.1,985.9,94,16.1,21,11.5,0,1,13,NA,1,8,4687,1.70684873053126
2012-09-27,1,126.4,56.9,984.4,81.6,18.3,21.3,15.5,1.7,1,13,NA,1,12,5725,2.09606986899563
2012-09-28,1.1,193,86,982.2,11.2,16,19.4,13.9,67.4,1,9,NA,1,0,0,NA
2012-09-29,1.5,246.7,74.5,987,176.6,17.1,23.5,13.5,0,1,24,NA,1,2,1132,1.76678445229682
2012-09-30,1.8,274.1,60.5,989.3,225.9,17.5,23.8,12.7,0,1,12,NA,1,20,10013,1.9974033756117
2012-10-01,1.6,223.2,69.3,990.8,193.5,17.3,23.3,11.8,0,1,11,NA,1,28,15051,1.8603415055478
2012-10-02,1.3,221,78.6,989.6,198.5,18.8,25.4,13.2,0,1,24,NA,2,26,15523,1.6749339689493
2012-10-03,1.1,200.6,81.8,987.8,180.2,20.2,27.6,16.2,0,1,6,NA,NA,19,10213,1.86037403309508
2012-10-04,1.5,219.8,81.5,989.1,209.3,19.8,26.6,15.3,0,1,15,NA,1,20,10353,1.93180720564088
2012-10-05,1.6,222.1,83.7,989.7,196.6,19.1,25.8,13.9,0,1,19,NA,1,0,0,NA
2012-10-06,1.7,220.6,70.7,989.8,184.9,21.1,27.1,17.3,0,1,12,NA,1,2,2272,0.880281690140845
2012-10-07,1.9,261.6,69.2,987.9,164.5,21.9,27.2,16.4,0,1,12,NA,1,23,10037,2.29152137092757
2012-10-08,1.3,221.4,74.8,985.8,189.4,22.1,28.8,17.8,0,1,11,NA,1,18,10035,1.79372197309417
2012-10-09,1.5,222.1,87.2,984,120.5,20.8,25.1,17.4,1.9,1,7,NA,1,21,12603,1.66626993572959
2012-10-10,1.3,272.8,87.6,980.3,88.8,19.2,22.5,16.2,9.3,1,10,NA,1,11,5387,2.04195284945239
2012-10-11,1.4,213.2,89.4,984.1,55.2,16.8,19.5,14.9,5.8,4,21,NA,1,2,1540,1.2987012987013
